2017-05-04 09:22:46.520000 | WARNING | No writers found!
2017-05-04 09:22:46.520000 | WARNING | No trailer found!
2017-05-04 09:22:46.520000 | WARNING | No IMDB id found!
2017-05-04 09:22:46.520000 | INFO | Adding movie to DB: Вълците на Уолстрийт 
2017-05-04 09:22:46.536000 | INFO | Success!
2017-05-04 09:22:46.536000 | INFO | Sleeping for 10 seconds
2017-05-04 09:22:56.549000 | INFO | --------------------------------------------
2017-05-04 09:22:56.549000 | INFO | Requesting url for scrapping: http://www.cinefish.bg/movie.php?id=498
2017-05-04 09:22:57.396000 | INFO | Response code 200
2017-05-04 09:22:57.411000 | WARNING | No trailer found!
2017-05-04 09:22:57.411000 | WARNING | No IMDB id found!
2017-05-04 09:22:57.411000 | INFO | Adding movie to DB: Вълчицата 
2017-05-04 09:22:57.427000 | INFO | Success!
2017-05-04 09:22:57.427000 | INFO | Sleeping for 25 seconds
2017-05-04 09:23:22.440000 | INFO | --------------------------------------------
2017-05-04 09:23:22.440000 | INFO | Requesting url for scrapping: http://www.cinefish.bg/movie.php?id=499
2017-05-04 09:23:23.470000 | INFO | Response code 200
2017-05-04 09:23:23.486000 | WARNING | No trailer found!
2017-05-04 09:23:23.486000 | WARNING | No IMDB id found!
2017-05-04 09:23:23.486000 | INFO | Adding movie to DB: Вълшебната флейта 
2017-05-04 09:23:23.486000 | INFO | Success!
2017-05-04 09:23:23.486000 | INFO | Sleeping for 29 seconds
